epoch,step,train/loss,train/reward,val/reward
0,49,7.031836032867432,-13.542450904846191,
0,99,-3.072592258453369,-13.221735000610352,
0,149,1.2619178295135498,-12.765739440917969,
0,195,,,-11.810725212097168
1,199,-36.233917236328125,-12.810850143432617,
1,249,-10.974806785583496,-12.140898704528809,
1,299,-6.367038726806641,-12.140663146972656,
1,349,-8.643142700195312,-12.068263053894043,
1,391,,,-11.360841751098633
2,399,-11.050524711608887,-11.849437713623047,
2,449,-7.360366344451904,-11.706350326538086,
2,499,-3.9339661598205566,-11.544512748718262,
2,549,-0.8012385964393616,-11.481983184814453,
2,587,,,-11.189421653747559
